fold,n_points,rmse,mae,r2,std_rmse,std_mae,std_r2
0,16,0.74048400500192,0.6946758855059874,-2.3793447293640204,,,
1,16,0.516820757493363,0.4830340046151685,-5.930142253256289,,,
2,16,0.7424154669757594,0.6900112036787469,-8.987083948148832,,,
3,16,0.40547967284084946,0.37366285147999356,-0.6952298304609998,,,
4,16,0.6875401957574266,0.6542125078684641,-5.471157647489033,,,
aggregate,80,0.6185480196138637,0.579119290629672,-4.692591681743835,0.13469818534238034,0.12863441596316233,2.89518128755578
