fold,n_points,rmse,mae,r2,std_rmse,std_mae,std_r2
0,16,0.8378821659881629,0.7612220803240457,-3.3268020461083294,,,
1,16,0.7664992835193207,0.6865556745938284,-14.243537353162086,,,
2,16,0.6535971055872309,0.5614723120574007,-6.740426993497143,,,
3,16,0.6950952443109104,0.5227294947194554,-3.9817169176104477,,,
4,16,1.441881205200751,1.0183477066460462,-27.460646090832117,,,
aggregate,80,0.8789910009212752,0.7100654536681553,-11.150625880242025,0.28837814141177265,0.176285189912846,9.029265639816801
