metric_type,rmse,mae,r2,n_samples,quarter
overall,0.6468254839817962,0.6005895254637647,-1.6449080747912608,20,
quarter,0.7109893392369956,0.6810221423018997,-1.0577026946598087,5,1.0
quarter,0.5576501768552183,0.4969470000298145,-1.3468060741389167,5,2.0
quarter,0.6591345169736145,0.6296157243335883,-45.94840834934918,5,3.0
quarter,0.6500730383516792,0.5947732351897559,-5.101039218624242,5,4.0
