fold,n_points,rmse,mae,r2,std_rmse,std_mae,std_r2
0,16,0.7840457183919516,0.692584746388841,-2.788644953420077,,,
1,16,0.5502449595853275,0.47869855918312976,-6.85551023452031,,,
2,16,0.7149484882926997,0.6627180999266917,-8.261774069286094,,,
3,16,0.38925000256981945,0.35480511514694657,-0.5622396615298997,,,
4,16,0.8181508517871338,0.7366756299819086,-8.163313958604599,,,
aggregate,80,0.6513280041253864,0.5850964301255035,-5.326296575472196,0.16024611132919692,0.14485144961689747,3.1029052256905243
